Amount,iRate,State,IntRate
15675.00,10.36%,CA,0.10
3800.00,11.12%,PA,0.11
2800.00,8.90%,VA,0.09
6250.00,7.49%,AR,0.07
17994.46,9.91%,WA,0.10
6000.00,17.27%,WV,0.17
20000.00,14.09%,TX,0.14
8000.00,11.14%,KY,0.11
12000.00,6.62%,NY,0.07
7100.00,11.12%,CO,0.11
2925.00,11.49%,CA,0.11
5000.00,6.99%,AL,0.07
21800.00,13.99%,NY,0.14
21850.00,23.28%,IL,0.23
7586.93,13.47%,CA,0.13
10150.07,15.68%,IL,0.16
9600.00,7.29%,RI,0.07
24975.00,20.50%,FL,0.21
14401.65,11.49%,FL,0.11
29950.00,7.90%,MA,0.08
20000.00,16.89%,WA,0.17
14825.00,13.67%,CA,0.14
8000.00,17.27%,NY,0.17
20000.00,11.71%,TX,0.12
7000.00,7.90%,TX,0.08
19900.00,10.62%,AL,0.11
4500.00,11.03%,PA,0.11
17600.00,13.11%,OH,0.13
7150.00,13.11%,IL,0.13
24775.00,10.36%,HI,0.10
15000.00,14.33%,AZ,0.14
9000.00,6.62%,MA,0.07
17600.00,16.35%,PA,0.16
10000.00,12.68%,IL,0.13
11000.00,15.20%,VA,0.15
13225.00,15.31%,CA,0.15
4000.00,11.14%,FL,0.11
11975.00,10.99%,NC,0.11
35000.00,19.05%,CT,0.19
17250.00,14.59%,FL,0.15
9000.00,6.03%,VA,0.06
18225.00,12.12%,MN,0.12
4750.00,14.72%,CO,0.15
14400.00,6.62%,FL,0.07
30000.00,23.76%,WI,0.24
13475.00,12.12%,MA,0.12
10000.00,19.05%,SC,0.19
12000.00,6.62%,CA,0.07
6000.00,16.89%,CA,0.17
6500.00,6.54%,NH,0.07
11875.00,10.38%,FL,0.10
5000.00,8.90%,PA,0.09
3600.00,8.90%,NV,0.09
26993.89,14.27%,FL,0.14
10000.00,14.27%,IL,0.14
5450.00,13.11%,AL,0.13
13613.86,15.28%,KY,0.15
9750.00,17.27%,FL,0.17
30000.00,7.51%,NY,0.08
13975.00,12.12%,NY,0.12
8500.00,6.62%,CA,0.07
14400.00,7.90%,FL,0.08
8000.00,7.14%,CA,0.07
12000.00,13.11%,NY,0.13
10350.00,13.11%,NY,0.13
21000.00,18.75%,NY,0.19
5925.00,11.83%,CA,0.12
10800.00,13.67%,IL,0.14
2100.00,14.33%,LA,0.14
4000.00,6.03%,FL,0.06
3500.00,7.62%,CA,0.08
23811.24,12.53%,NY,0.13
19000.00,14.33%,IL,0.14
10477.85,15.33%,NY,0.15
2500.00,18.49%,PA,0.18
16000.00,14.59%,CA,0.15
1300.00,13.75%,FL,0.14
10000.00,5.42%,GA,0.05
7100.00,14.09%,OH,0.14
12425.00,9.32%,TX,0.09
1700.00,13.99%,NY,0.14
4000.00,11.14%,WA,0.11
18225.00,17.99%,VA,0.18
30000.00,16.29%,NY,0.16
10000.00,6.54%,FL,0.07
6000.00,7.90%,GA,0.08
6000.00,12.12%,PA,0.12
6000.00,15.80%,WA,0.16
7000.00,17.77%,WV,0.18
10000.00,15.31%,TX,0.15
3250.00,12.73%,FL,0.13
29950.00,19.72%,CT,0.20
21000.00,11.11%,NY,0.11
11000.00,7.62%,NY,0.08
5400.00,7.14%,MO,0.07
15000.00,7.90%,MO,0.08
17890.70,19.91%,CA,0.20
6250.00,8.07%,MA,0.08
4000.00,18.64%,MN,0.19
20000.00,8.90%,MD,0.09
15000.00,12.12%,NJ,0.12
7825.00,11.83%,FL,0.12
14900.00,19.74%,TX,0.20
8000.00,11.14%,CA,0.11
20675.00,14.33%,NM,0.14
30000.00,15.31%,MN,0.15
11875.00,7.66%,NY,0.08
5000.00,9.99%,VA,0.10
4750.00,8.90%,PA,0.09
6500.00,12.12%,TX,0.12
20550.00,10.59%,CA,0.11
1900.00,12.84%,UT,0.13
6000.00,7.90%,NY,0.08
8500.00,7.62%,FL,0.08
9250.00,12.12%,TX,0.12
1875.00,13.49%,NY,0.13
2450.00,12.61%,MD,0.13
10000.00,13.47%,TX,0.13
25000.00,15.23%,KS,0.15
5000.00,13.99%,NC,0.14
5996.63,13.61%,CA,0.14
10000.00,14.22%,NJ,0.14
5325.00,6.62%,NV,0.07
18898.03,16.32%,NY,0.16
5500.00,11.89%,MA,0.12
10000.00,10.74%,CA,0.11
8800.00,13.11%,AZ,0.13
9475.00,15.95%,CA,0.16
9294.21,5.79%,VA,0.06
16500.00,11.71%,CT,0.12
24875.00,11.71%,IL,0.12
24000.00,12.12%,NJ,0.12
6875.00,10.36%,CA,0.10
1200.00,18.25%,OH,0.18
24175.00,13.11%,GA,0.13
2800.00,7.90%,MA,0.08
4000.00,11.71%,PA,0.12
10000.00,12.12%,CT,0.12
7125.00,10.16%,MA,0.10
9325.00,8.32%,FL,0.08
10000.00,13.11%,CA,0.13
4398.89,15.31%,NC,0.15
10000.00,12.12%,CA,0.12
9450.00,12.12%,FL,0.12
3500.00,7.62%,IL,0.08
24000.00,12.69%,FL,0.13
11750.00,10.99%,NC,0.11
24800.00,10.16%,NY,0.10
12000.00,18.75%,GA,0.19
13000.00,14.09%,PA,0.14
5000.00,13.48%,FL,0.13
15000.00,14.33%,CA,0.14
15975.00,13.43%,CA,0.13
11975.00,15.23%,NV,0.15
10050.00,14.33%,NV,0.14
25850.00,15.23%,IL,0.15
30000.00,22.95%,HI,0.23
24175.00,12.18%,NY,0.12
16000.00,6.03%,NJ,0.06
8996.01,15.05%,CA,0.15
16750.00,11.12%,MD,0.11
200.00,7.75%,GA,0.08
12000.00,12.12%,CA,0.12
2000.00,17.27%,CA,0.17
24000.00,12.69%,MN,0.13
16800.00,22.47%,OH,0.22
3000.00,17.27%,NY,0.17
3500.00,12.69%,NC,0.13
3910.45,7.66%,NY,0.08
15975.00,16.29%,OH,0.16
8800.00,18.25%,KY,0.18
19725.00,7.90%,CA,0.08
19725.00,15.96%,VA,0.16
19725.00,20.77%,KS,0.21
10000.00,16.32%,MA,0.16
0.00,8.63%,NJ,0.09
9600.00,6.62%,SC,0.07
29975.00,21.49%,NJ,0.21
7000.00,12.42%,CA,0.12
8400.00,10.74%,LA,0.11
5600.00,14.33%,OH,0.14
13175.00,7.88%,GA,0.08
15000.00,12.12%,NY,0.12
17500.00,13.23%,MD,0.13
32400.00,12.12%,CA,0.12
11975.00,12.12%,NJ,0.12
9875.00,14.09%,TX,0.14
12275.00,7.88%,OH,0.08
15000.00,11.14%,GA,0.11
4446.50,11.97%,IL,0.12
20000.00,13.11%,NY,0.13
21725.00,16.29%,FL,0.16
5000.00,10.00%,FL,0.10
10300.00,8.90%,GA,0.09
14400.00,20.49%,MO,0.20
15000.00,16.49%,MA,0.16
35000.00,19.72%,IL,0.20
7000.00,15.80%,FL,0.16
12500.00,15.96%,PA,0.16
18000.00,12.12%,CA,0.12
6000.00,11.89%,CA,0.12
16000.00,8.90%,CA,0.09
34950.00,23.28%,OR,0.23
10000.00,6.62%,NY,0.07
21000.00,24.70%,AK,0.25
8000.00,12.12%,NJ,0.12
32058.53,20.30%,GA,0.20
10878.55,14.74%,CA,0.15
16000.00,15.31%,CA,0.15
15000.00,14.65%,NJ,0.15
12000.00,14.33%,CA,0.14
3975.00,14.96%,PA,0.15
12000.00,17.99%,CA,0.18
12000.00,10.36%,PA,0.10
7500.00,5.42%,OH,0.05
23568.65,7.88%,AZ,0.08
16000.00,15.31%,MA,0.15
12200.00,21.48%,AK,0.21
12000.00,10.16%,CA,0.10
12000.00,15.31%,MA,0.15
9775.00,5.99%,AL,0.06
7000.00,14.72%,WI,0.15
10000.00,11.71%,CA,0.12
10000.00,13.11%,UT,0.13
16975.00,11.99%,NC,0.12
17975.00,19.22%,AZ,0.19
6575.00,11.97%,CA,0.12
9445.58,12.41%,FL,0.12
7200.00,12.12%,CA,0.12
1500.00,12.99%,MO,0.13
13600.00,12.12%,WA,0.12
30000.00,24.33%,CA,0.24
10000.00,17.77%,CO,0.18
9850.00,10.25%,NJ,0.10
10000.00,11.71%,KS,0.12
6975.00,13.16%,CA,0.13
4700.00,7.90%,OR,0.08
21200.00,9.91%,TX,0.10
14875.00,19.05%,CA,0.19
2800.00,14.17%,MD,0.14
14875.00,13.11%,MI,0.13
24925.00,11.14%,IN,0.11
15000.00,11.71%,NY,0.12
9100.00,6.03%,PA,0.06
11950.00,12.12%,NY,0.12
16250.00,23.28%,CA,0.23
25000.00,18.49%,CA,0.18
30000.00,15.31%,CA,0.15
544.89,11.59%,MD,0.12
3000.00,12.12%,FL,0.12
16650.00,12.18%,GA,0.12
12000.00,17.56%,TX,0.18
27575.00,19.05%,MA,0.19
5000.00,8.90%,CA,0.09
9000.00,13.11%,IL,0.13
11650.00,13.23%,FL,0.13
16500.00,7.90%,NY,0.08
13003.66,11.89%,OH,0.12
29975.00,18.64%,CA,0.19
29975.00,20.50%,NJ,0.21
7945.17,13.16%,MN,0.13
12000.00,15.80%,TX,0.16
10000.00,10.16%,NY,0.10
3800.00,14.65%,CA,0.15
18775.00,10.16%,AZ,0.10
7200.00,17.27%,CA,0.17
25425.00,13.99%,NC,0.14
5975.00,11.12%,NY,0.11
8000.00,5.99%,OH,0.06
10000.00,14.27%,OH,0.14
4800.00,14.65%,CO,0.15
7000.00,12.12%,MA,0.12
9975.00,7.90%,OH,0.08
30050.00,22.95%,WI,0.23
10000.00,10.59%,KY,0.11
30000.00,12.12%,MA,0.12
16000.00,17.27%,NY,0.17
21175.00,18.49%,CA,0.18
6500.00,7.51%,KY,0.08
19000.00,9.76%,FL,0.10
5329.76,11.89%,NJ,0.12
1500.00,21.49%,TX,0.21
24000.00,23.63%,OK,0.24
20000.00,18.75%,CA,0.19
10000.00,13.49%,CA,0.13
6350.00,9.20%,NJ,0.09
10000.00,11.14%,WI,0.11
9000.00,19.91%,SC,0.20
4200.00,11.36%,TX,0.11
6625.00,17.77%,IL,0.18
15000.00,15.96%,AL,0.16
3825.00,14.27%,CA,0.14
4200.00,9.25%,WA,0.09
17325.00,8.90%,IL,0.09
25000.00,18.49%,VA,0.18
7925.00,17.49%,CA,0.17
12000.00,6.62%,NY,0.07
5000.00,6.03%,TX,0.06
14000.00,9.99%,MD,0.10
30000.00,22.78%,IL,0.23
10750.00,8.90%,FL,0.09
23772.15,12.99%,NC,0.13
10000.00,15.31%,OK,0.15
16550.00,17.27%,MN,0.17
3300.00,5.99%,NC,0.06
8000.00,14.09%,NJ,0.14
32117.00,16.89%,LA,0.17
14000.00,10.65%,WA,0.11
18000.00,8.90%,OK,0.09
9999.71,13.49%,IL,0.13
3600.00,16.77%,NY,0.17
10928.83,5.79%,GA,0.06
4200.00,20.49%,NV,0.20
4200.00,14.61%,CA,0.15
11200.00,21.74%,NY,0.22
15000.00,15.99%,VA,0.16
12100.00,11.99%,TX,0.12
13975.00,13.98%,GA,0.14
4900.00,5.99%,VA,0.06
19200.00,12.12%,TX,0.12
8500.00,9.76%,CA,0.10
11875.00,7.88%,CA,0.08
21000.00,19.22%,IL,0.19
24868.47,17.99%,NH,0.18
10000.00,12.12%,MI,0.12
9975.00,17.99%,CA,0.18
12000.00,18.49%,CA,0.18
10325.00,11.99%,CA,0.12
3945.60,6.76%,KY,0.07
20000.00,19.72%,GA,0.20
24375.00,13.99%,PA,0.14
4538.17,9.07%,FL,0.09
9550.00,10.74%,AL,0.11
24975.00,20.50%,OH,0.21
3600.00,12.87%,NJ,0.13
10000.00,11.11%,NH,0.11
20000.00,6.62%,CA,0.07
35000.00,10.74%,PA,0.11
12000.00,12.12%,NY,0.12
2025.01,14.82%,CA,0.15
20000.00,7.90%,CO,0.08
18000.00,10.16%,SC,0.10
7575.00,7.51%,TX,0.08
4000.00,9.76%,CA,0.10
5975.00,7.90%,PA,0.08
15000.00,17.77%,FL,0.18
20950.00,13.67%,IL,0.14
10625.00,7.90%,OR,0.08
9000.00,10.16%,AZ,0.10
11800.00,11.48%,AL,0.11
25800.00,13.11%,VT,0.13
10000.00,6.62%,CA,0.07
7595.31,11.58%,CT,0.12
18650.00,20.49%,OH,0.20
10000.00,12.12%,CO,0.12
14000.00,16.77%,FL,0.17
14000.00,14.09%,CA,0.14
13714.83,17.56%,NY,0.18
8000.00,14.33%,CA,0.14
11925.00,11.83%,VA,0.12
24375.00,13.11%,NV,0.13
3500.00,7.90%,VA,0.08
7900.00,13.67%,CA,0.14
10000.00,12.12%,CA,0.12
10375.00,17.58%,CA,0.18
7450.00,7.14%,KY,0.07
18800.00,14.33%,AL,0.14
21000.00,13.11%,VA,0.13
8500.00,6.62%,CA,0.07
13200.00,11.71%,NY,0.12
3000.00,19.99%,VA,0.20
19200.00,22.47%,AZ,0.22
13600.00,18.64%,MN,0.19
6000.00,7.88%,PA,0.08
22000.00,14.65%,NC,0.15
12000.00,15.31%,TX,0.15
5000.00,18.39%,NJ,0.18
30750.00,7.90%,GA,0.08
10000.00,7.90%,NJ,0.08
10000.00,14.09%,CA,0.14
13250.00,7.90%,CO,0.08
5000.00,14.27%,CA,0.14
14675.00,13.11%,TX,0.13
6875.00,10.00%,CO,0.10
6000.00,17.77%,MI,0.18
20000.00,12.69%,RI,0.13
7000.00,12.12%,SC,0.12
1500.00,12.12%,CA,0.12
35000.00,18.49%,NY,0.18
20000.00,18.25%,PA,0.18
21000.00,14.27%,GA,0.14
12475.00,6.03%,FL,0.06
2125.00,15.01%,GA,0.15
9600.00,14.46%,DE,0.14
8100.00,13.85%,FL,0.14
15000.00,14.65%,MI,0.15
14950.00,16.32%,MA,0.16
11000.00,11.14%,NJ,0.11
9600.00,14.17%,NY,0.14
25000.00,13.11%,CA,0.13
14550.00,13.11%,WA,0.13
10000.00,10.74%,CA,0.11
24000.00,11.14%,DC,0.11
19950.00,10.65%,KS,0.11
24975.00,11.49%,CA,0.11
7200.00,17.77%,NC,0.18
5000.00,14.33%,FL,0.14
19975.00,16.49%,MN,0.16
5600.00,7.91%,CA,0.08
20000.00,7.90%,IL,0.08
6000.00,8.90%,NY,0.09
3200.00,17.49%,CA,0.17
24375.00,14.09%,MT,0.14
25225.00,12.12%,CA,0.12
19900.00,15.95%,VA,0.16
30225.00,17.77%,TX,0.18
7000.00,7.40%,AZ,0.07
14869.55,15.65%,FL,0.16
7575.00,9.76%,TX,0.10
15000.00,13.11%,PA,0.13
24000.00,15.81%,NY,0.16
19775.00,15.31%,IL,0.15
6475.00,10.75%,CA,0.11
6000.00,15.96%,NC,0.16
3500.00,15.31%,NY,0.15
5675.00,14.82%,CA,0.15
12000.00,6.03%,MT,0.06
20000.00,7.90%,CA,0.08
3900.00,12.12%,HI,0.12
16000.00,19.22%,NC,0.19
15000.00,15.99%,SC,0.16
28200.00,20.50%,NY,0.21
14975.00,13.49%,AK,0.13
7400.00,13.99%,NY,0.14
15000.00,10.59%,MA,0.11
4500.00,5.99%,NY,0.06
3000.00,14.09%,NC,0.14
9000.00,14.27%,TX,0.14
4000.00,8.90%,FL,0.09
10000.00,17.27%,MI,0.17
6400.00,15.99%,NY,0.16
4325.00,10.16%,GA,0.10
12000.00,13.11%,WA,0.13
10000.00,15.31%,CA,0.15
12000.00,10.16%,MA,0.10
6000.00,12.12%,WI,0.12
2200.00,13.49%,WA,0.13
5000.00,14.27%,FL,0.14
12000.00,19.69%,NV,0.20
3000.00,7.90%,PA,0.08
30000.00,21.49%,NY,0.21
10800.00,12.12%,NJ,0.12
10500.00,18.25%,GA,0.18
10000.00,6.62%,CA,0.07
23950.00,12.12%,TX,0.12
16000.00,14.09%,CA,0.14
15000.00,13.99%,MI,0.14
9500.00,21.98%,PA,0.22
35000.00,19.05%,FL,0.19
5000.00,7.90%,TX,0.08
15000.00,11.71%,FL,0.12
5000.00,15.31%,GA,0.15
18975.00,11.14%,CA,0.11
11625.00,15.80%,OK,0.16
25000.00,7.62%,NY,0.08
8000.00,12.69%,AL,0.13
9675.00,8.59%,HI,0.09
5975.00,8.00%,NY,0.08
10200.00,12.42%,CO,0.12
10500.00,6.62%,OK,0.07
5000.00,7.90%,IL,0.08
17500.00,7.90%,CA,0.08
4000.00,19.03%,CA,0.19
22000.00,12.12%,NY,0.12
4900.00,5.79%,NY,0.06
8000.00,16.29%,IL,0.16
19125.00,18.49%,GA,0.18
16000.00,12.12%,NY,0.12
4500.00,14.59%,NY,0.15
5800.00,22.45%,CA,0.22
525.00,14.70%,FL,0.15
16750.00,18.75%,FL,0.19
3600.00,12.12%,CA,0.12
10000.00,15.62%,NY,0.16
6000.00,5.42%,MD,0.05
10000.00,7.62%,MN,0.08
10000.00,17.77%,CO,0.18
5000.00,7.49%,VA,0.07
34950.00,23.76%,NY,0.24
7000.00,7.90%,CT,0.08
1647.62,10.20%,CT,0.10
28000.00,15.62%,GA,0.16
6800.00,15.58%,DC,0.16
15775.00,14.65%,NY,0.15
22425.00,10.59%,MN,0.11
3000.00,9.91%,IL,0.10
15350.00,18.49%,GA,0.18
26500.00,9.76%,NY,0.10
6400.00,6.00%,FL,0.06
13200.00,14.33%,CA,0.14
12000.00,11.49%,CA,0.11
4000.00,6.03%,GA,0.06
2500.00,6.62%,MD,0.07
27925.00,18.55%,LA,0.19
8975.00,8.90%,CA,0.09
6600.00,6.03%,NC,0.06
27050.00,17.27%,WA,0.17
4800.00,15.99%,IL,0.16
7550.00,10.16%,CA,0.10
10000.00,7.74%,OR,0.08
12275.00,11.26%,TX,0.11
27575.00,19.05%,WI,0.19
20000.00,13.11%,IL,0.13
14900.00,14.61%,TX,0.15
18000.00,8.90%,NV,0.09
5375.00,8.90%,OH,0.09
22950.00,15.81%,CA,0.16
7950.00,5.79%,FL,0.06
2950.00,12.69%,SC,0.13
7200.00,6.92%,RI,0.07
15350.00,15.80%,CO,0.16
6000.00,12.12%,GA,0.12
8081.65,13.16%,GA,0.13
5000.00,12.68%,NY,0.13
2575.00,6.76%,MA,0.07
1800.00,13.67%,NY,0.14
10000.00,14.09%,WA,0.14
7750.00,10.74%,UT,0.11
12000.00,16.29%,CT,0.16
10000.00,6.03%,KY,0.06
4950.00,13.67%,CA,0.14
8350.00,6.03%,WA,0.06
3500.00,12.12%,CA,0.12
12000.00,16.29%,TX,0.16
18000.00,22.47%,OH,0.22
14650.00,12.99%,FL,0.13
13000.00,14.09%,CT,0.14
15000.00,13.11%,NY,0.13
8205.63,9.32%,OH,0.09
6900.00,14.09%,AR,0.14
35000.00,20.49%,PA,0.20
23995.24,10.62%,VA,0.11
9600.00,11.14%,NV,0.11
8975.00,6.62%,NY,0.07
6500.00,8.90%,CO,0.09
1750.00,11.14%,CA,0.11
5000.00,5.42%,OH,0.05
6000.00,15.80%,GA,0.16
25000.00,14.09%,CA,0.14
13000.00,14.33%,MN,0.14
5875.00,7.90%,NV,0.08
5000.00,16.29%,VA,0.16
7925.00,16.45%,MO,0.16
12000.00,9.62%,GA,0.10
35000.00,12.12%,FL,0.12
4775.00,5.79%,NJ,0.06
6500.00,11.11%,WY,0.11
25000.00,13.06%,MI,0.13
1000.00,7.62%,MD,0.08
16000.00,13.48%,KY,0.13
2275.00,15.13%,TX,0.15
13600.00,8.90%,WA,0.09
12000.00,15.31%,CA,0.15
15000.00,10.37%,AL,0.10
7125.00,18.49%,CT,0.18
34977.35,21.67%,CA,0.22
11575.00,13.11%,NY,0.13
5000.00,7.40%,GA,0.07
5000.00,7.62%,NY,0.08
527.49,13.24%,NJ,0.13
7000.00,7.90%,VA,0.08
16755.89,14.50%,MN,0.15
7000.00,6.92%,CA,0.07
19900.00,10.25%,DE,0.10
6000.00,7.90%,PA,0.08
14000.00,7.66%,FL,0.08
30000.00,19.05%,CO,0.19
18200.00,17.58%,TX,0.18
12000.00,7.29%,VA,0.07
10000.00,12.12%,CA,0.12
16275.00,14.91%,FL,0.15
2116.76,13.87%,NY,0.14
20850.00,15.58%,CA,0.16
24000.00,12.12%,MD,0.12
6000.00,7.49%,NY,0.07
9975.00,11.49%,NV,0.11
2000.00,8.90%,MI,0.09
6600.00,11.14%,PA,0.11
6350.01,16.71%,NY,0.17
11925.00,9.63%,WA,0.10
4200.00,7.29%,IL,0.07
6875.00,13.11%,TX,0.13
6000.00,7.51%,IL,0.08
8400.00,10.99%,CA,0.11
5000.00,7.88%,NJ,0.08
4750.00,10.16%,MO,0.10
14925.00,10.75%,NY,0.11
12000.00,16.29%,WI,0.16
0.00,7.68%,GA,0.08
12700.00,12.61%,FL,0.13
11950.00,8.90%,CA,0.09
9425.00,13.49%,CA,0.13
28000.00,12.42%,NY,0.12
29975.00,21.00%,TX,0.21
9600.00,18.39%,VA,0.18
7242.07,12.84%,NY,0.13
12000.00,10.65%,GA,0.11
9600.00,15.31%,PA,0.15
6000.00,10.62%,VA,0.11
7500.00,11.11%,NY,0.11
6950.00,6.03%,FL,0.06
10000.00,11.71%,NY,0.12
2799.99,12.61%,CA,0.13
12850.00,10.38%,VA,0.10
35000.00,24.70%,AL,0.25
20775.00,6.62%,CA,0.07
1600.00,16.29%,OR,0.16
9900.00,6.03%,TX,0.06
7997.85,17.99%,CA,0.18
16000.00,12.12%,CT,0.12
11675.00,7.90%,CA,0.08
13475.00,12.12%,FL,0.12
14500.00,5.42%,OH,0.05
5000.00,14.61%,CA,0.15
13575.00,6.62%,CA,0.07
2200.00,8.90%,CA,0.09
9000.00,9.76%,NY,0.10
27925.00,22.47%,FL,0.22
9450.00,14.33%,NY,0.14
15175.00,20.25%,WA,0.20
10000.00,7.49%,AZ,0.07
16000.00,16.29%,FL,0.16
13200.00,15.31%,KY,0.15
20000.00,18.75%,PA,0.19
8500.00,17.77%,MI,0.18
3000.00,14.27%,NY,0.14
10000.00,15.31%,FL,0.15
14075.00,16.29%,NY,0.16
19000.00,19.72%,NY,0.20
11696.88,12.84%,IL,0.13
9000.00,13.11%,GA,0.13
6775.00,13.11%,NC,0.13
2200.00,15.23%,CA,0.15
10550.00,8.00%,CA,0.08
16800.00,14.33%,WV,0.14
3500.00,15.62%,GA,0.16
9250.00,18.79%,AK,0.19
23400.00,7.49%,TX,0.07
10375.00,7.90%,MD,0.08
9300.00,14.09%,DC,0.14
18000.00,21.48%,NY,0.21
5375.00,8.90%,NC,0.09
3700.00,15.80%,NY,0.16
19125.00,18.49%,MA,0.18
1625.00,15.31%,TX,0.15
25975.00,16.77%,NC,0.17
6650.00,18.25%,OH,0.18
1000.00,11.49%,CA,0.11
17896.62,14.42%,TX,0.14
7975.00,12.84%,TX,0.13
4575.00,15.65%,MS,0.16
34950.00,21.97%,RI,0.22
10000.00,12.12%,CA,0.12
32350.00,18.49%,CT,0.18
16000.00,12.98%,CA,0.13
13750.00,14.09%,CA,0.14
5600.00,11.14%,NC,0.11
20950.00,23.76%,KS,0.24
12000.00,7.90%,MN,0.08
12000.00,13.49%,NV,0.13
3600.00,13.99%,NY,0.14
15175.00,16.32%,PA,0.16
8400.00,9.25%,NM,0.09
24300.00,15.80%,PA,0.16
8575.00,15.80%,KY,0.16
13800.00,12.12%,CA,0.12
17000.00,11.49%,MI,0.11
11000.00,13.67%,LA,0.14
7800.00,14.35%,CA,0.14
3725.00,10.59%,NY,0.11
11000.00,17.27%,WI,0.17
8500.00,15.31%,CO,0.15
10000.00,9.76%,MA,0.10
12000.00,11.71%,CT,0.12
31425.00,12.12%,IL,0.12
19000.00,15.31%,FL,0.15
12000.00,10.16%,CO,0.10
19125.00,10.16%,FL,0.10
6500.00,16.07%,MD,0.16
8975.00,7.90%,NJ,0.08
5975.00,6.03%,NY,0.06
20800.00,19.22%,TX,0.19
8400.00,14.27%,NC,0.14
20000.00,18.49%,FL,0.18
18550.00,12.12%,FL,0.12
9600.00,12.12%,CT,0.12
6000.00,6.03%,TX,0.06
14000.00,15.31%,AZ,0.15
16573.33,12.98%,AL,0.13
13225.00,10.65%,NJ,0.11
13000.00,9.76%,TX,0.10
20000.00,12.12%,FL,0.12
7000.00,15.31%,CO,0.15
12000.00,17.27%,CO,0.17
4200.00,7.62%,IL,0.08
7100.00,11.89%,FL,0.12
1775.00,6.54%,OH,0.07
10000.00,12.12%,NY,0.12
14375.00,12.69%,GA,0.13
13150.00,8.49%,FL,0.08
9975.00,13.48%,NV,0.13
2950.00,5.79%,CO,0.06
20000.00,7.90%,CA,0.08
6000.00,15.80%,WI,0.16
7050.00,13.49%,PA,0.13
11325.00,12.12%,TX,0.12
2000.00,16.29%,OH,0.16
6557.05,12.53%,CA,0.13
10000.00,14.33%,WA,0.14
15000.00,16.29%,CA,0.16
22975.00,18.64%,GA,0.19
10000.00,15.31%,WA,0.15
4000.00,12.23%,CO,0.12
12909.48,10.74%,CA,0.11
525.00,9.33%,WI,0.09
6400.00,7.51%,IL,0.08
3800.00,7.90%,NY,0.08
8000.00,17.99%,FL,0.18
7975.00,17.27%,FL,0.17
6000.00,15.31%,NJ,0.15
2500.00,8.90%,MO,0.09
10000.00,13.11%,CO,0.13
14600.00,9.76%,FL,0.10
23800.00,21.14%,MI,0.21
2200.00,7.90%,WA,0.08
10000.00,13.11%,CA,0.13
5000.00,9.76%,NC,0.10
12300.00,7.51%,FL,0.08
2500.00,13.22%,CA,0.13
14825.00,12.73%,PA,0.13
1000.00,10.74%,UT,0.11
17975.00,11.71%,AZ,0.12
5000.00,15.80%,CA,0.16
5956.31,9.99%,CO,0.10
2500.00,10.37%,NJ,0.10
6000.00,10.16%,NC,0.10
5525.00,7.75%,NV,0.08
4200.00,13.06%,NJ,0.13
12500.00,14.09%,TX,0.14
9458.33,16.32%,VA,0.16
30000.00,17.77%,MN,0.18
20700.00,16.29%,CA,0.16
7000.00,13.11%,IL,0.13
8000.00,7.90%,NY,0.08
18000.00,20.99%,CA,0.21
12000.00,6.62%,WA,0.07
5500.00,12.69%,VA,0.13
17975.00,10.99%,CA,0.11
5400.00,16.29%,GA,0.16
18000.00,12.12%,VA,0.12
3000.00,10.74%,DE,0.11
21000.00,7.62%,IL,0.08
8000.00,17.77%,IL,0.18
1750.00,7.88%,VA,0.08
214.02,8.00%,KS,0.08
9500.00,14.65%,CA,0.15
14500.00,14.09%,MI,0.14
4800.00,19.99%,NM,0.20
3800.00,6.99%,NY,0.07
20675.00,17.27%,MD,0.17
225.00,10.28%,NY,0.10
27050.00,19.05%,MI,0.19
7850.00,15.33%,FL,0.15
5300.00,15.27%,CT,0.15
5000.00,7.90%,PA,0.08
15500.00,8.90%,PA,0.09
11200.00,7.91%,GA,0.08
16000.00,23.76%,TX,0.24
21850.00,15.80%,NJ,0.16
2375.00,8.90%,NC,0.09
2700.00,5.79%,OH,0.06
30100.00,19.42%,DC,0.19
20000.00,14.33%,CA,0.14
6000.00,6.62%,FL,0.07
2000.00,14.65%,CA,0.15
766.09,12.86%,PA,0.13
17950.00,13.49%,MD,0.13
15000.00,15.27%,NJ,0.15
5000.00,11.99%,TX,0.12
7500.00,13.67%,WV,0.14
16000.00,17.99%,CA,0.18
20000.00,7.90%,TX,0.08
24000.00,15.80%,NC,0.16
24925.00,15.95%,MD,0.16
3000.00,6.03%,VA,0.06
7875.00,11.48%,FL,0.11
13000.00,10.99%,GA,0.11
8000.00,6.03%,OR,0.06
10000.00,12.12%,NY,0.12
19925.00,12.53%,AZ,0.13
21700.00,15.31%,CA,0.15
2500.00,11.99%,RI,0.12
9869.17,14.96%,MA,0.15
17000.00,7.90%,CA,0.08
10000.00,6.62%,IL,0.07
14100.00,18.55%,AL,0.19
26500.00,20.49%,MO,0.20
12000.00,12.12%,CA,0.12
-0.01,13.87%,NJ,0.14
7200.00,7.62%,CA,0.08
1196.59,8.32%,PA,0.08
19750.00,17.27%,NY,0.17
20975.00,14.91%,CA,0.15
3500.00,15.81%,AR,0.16
2650.00,7.49%,WV,0.07
15000.00,13.11%,CA,0.13
4800.00,14.33%,IL,0.14
12000.00,17.99%,CT,0.18
6000.00,6.62%,NH,0.07
12000.00,7.90%,DE,0.08
